阿布哈兹	阿布哈兹共和国	Abkhazia
埃塞俄比亚	埃塞俄比亚联邦民主共和国	Ethiopia
福克兰群岛	福克兰群岛（马尔维纳斯群岛）	Falkland Islands
法罗群岛	法罗群岛	Faroe Islands
斐济	斐济共和国	Fiji
芬兰	芬兰共和国	Finland
法国	法兰西共和国	France
法属波利尼西亚	法属波利尼西亚	French Polynesia
加蓬	加蓬共和国	Gabon
冈比亚	冈比亚共和国	Gambia, The
格鲁吉亚	格鲁吉亚	Georgia
德国	德意志联邦共和国	Germany
加纳	加纳共和国	Ghana
直布罗陀	直布罗陀	Gibraltar
希腊	希腊共和国	Greece
格陵兰	格陵兰	Greenland
格林纳达	格林纳达	Grenada
关岛	关岛	Guam
危地马拉	危地马拉共和国	Guatemala
根西岛	根西岛	Guernsey
几内亚	几内亚共和国	Guinea
几内亚比绍	几内亚比绍共和国	Guinea-Bissau
圭亚那	圭亚那合作共和国	Guyana
海地	海地共和国	Haiti
洪都拉斯	洪都拉斯共和国	Honduras
香港	中华人民共和国香港特别行政区	Hong Kong
匈牙利	匈牙利	Hungary
冰岛	冰岛共和国	Iceland
印度	印度共和国	India
印度尼西亚	印度尼西亚共和国	Indonesia
伊朗	伊朗伊斯兰共和国	Iran
伊拉克	伊拉克共和国	Iraq
爱尔兰共和国	爱尔兰	Ireland
以色列	以色列国	Israel
意大利	意大利共和国	Italy
牙买加	牙买加	Jamaica
日本	日本国	Japan
泽西岛	泽西岛	Jersey
约旦	约旦哈希姆王国	Jordan
哈萨克斯坦	哈萨克斯坦共和国	Kazakhstan
肯尼亚	肯尼亚共和国	Kenya
基里巴斯	基里巴斯共和国	Kiribati
大韩民国	大韩民国	Korea, South
科索沃	科索沃共和国	Kosovo
科威特	科威特国	Kuwait
吉尔吉斯斯坦	吉尔吉斯共和国	Kyrgyzstan
老挝	老挝人民民主共和国	Laos
拉脱维亚	拉脱维亚共和国	Latvia
黎巴嫩	黎巴嫩共和国	Lebanon
莱索托	莱索托王国	Lesotho
利比里亚	利比里亚共和国	Liberia
利比亚	利比亚国	Libya
列支敦士登	列支敦士登公国	Liechtenstein
立陶宛	立陶宛共和国	Lithuania
卢森堡	卢森堡大公国	Luxembourg
澳门	中华人民共和国澳门特别行政区	Macao
马其顿共和国	马其顿共和国	Macedonia
马达加斯加	马达加斯加共和国	Madagascar
马拉维	马拉维共和国	Malawi
马来西亚	马来西亚	Malaysia
马尔代夫	马尔代夫共和国	Maldives
马里共和国	马里共和国	Mali
马耳他	马耳他共和国	Malta
马恩岛	马恩岛	Isle of Man
马绍尔群岛	马绍尔群岛共和国	Marshall Islands
毛里塔尼亚	毛里塔尼亚伊斯兰共和国	Mauritania
毛里求斯	毛里求斯共和国	Mauritius
马约特	马约特	Mayotte
墨西哥	墨西哥合众国	Mexico
密克罗尼西亚联邦	密克罗尼西亚联邦	Micronesia
摩尔多瓦	摩尔多瓦共和国	Moldova
摩纳哥	摩纳哥公国	Monaco
蒙古国	蒙古国	Mongolia
黑山	黑山	Montenegro
蒙特塞拉特岛	蒙特塞拉特	Montserrat
摩洛哥	摩洛哥王国	Morocco
莫桑比克	莫桑比克共和国	Mozambique
缅甸	缅甸联邦共和国	Myanmar
纳戈尔诺-卡拉巴赫	纳戈尔诺-卡拉巴赫共和国	Nagorno-Karabakh
纳米比亚	纳米比亚共和国	Namibia
瑙鲁	瑙鲁共和国	Nauru
尼泊尔	尼泊尔联邦民主共和国	Nepal
荷兰	荷兰王国	Netherlands
新喀里多尼亚	新喀里多尼亚	New Caledonia
新西兰	新西兰	New Zealand
尼加拉瓜	尼加拉瓜共和国	Nicaragua
尼日尔	尼日尔共和国	Niger
尼日利亚	尼日利亚联邦共和国	Nigeria
纽埃	纽埃	Niue
诺福克岛	诺福克岛	Norfolk Island
北塞浦路斯	北塞浦路斯土耳其共和国	Northern Cyprus
北马里亚纳群岛	北马里亚纳群岛邦	Northern Mariana Islands
挪威	挪威王国	Norway
阿曼	阿曼苏丹国	Oman
巴基斯坦	巴基斯坦伊斯兰共和国	Pakistan
帕劳	帕劳共和国	Palau
巴勒斯坦	巴勒斯坦国	Palestine
巴拿马	巴拿马共和国	Panama
巴布亚新几内亚	巴布亚新几内亚独立国	Papua New Guinea
巴拉圭	巴拉圭共和国	Paraguay
朝鲜民主主义人民共和国	朝鲜民主主义人民共和国	People's Republic of Korea
秘鲁	秘鲁共和国	Peru
菲律宾	菲律宾共和国	Philippines
皮特凯恩群岛	皮特开恩群岛	Pitcairn Islands
波兰	波兰共和国	Poland
葡萄牙	葡萄牙共和国	Portugal
德涅斯特河左岸	德涅斯特河沿岸摩尔达维亚共和国	Pridnestrovie
波多黎各	波多黎各自由邦	Puerto Rico
卡塔尔	卡塔尔国	Qatar
留尼汪	留尼汪	Réunion
罗马尼亚	罗马尼亚	Romania
俄罗斯	俄罗斯联邦	Russia
卢旺达	卢旺达共和国	Rwanda
圣赫勒拿岛	圣赫勒拿	Saint Helena
圣基茨和尼维斯	圣基茨和尼维斯联邦	Saint Christopher and Nevis
圣卢西亚	圣卢西亚	Saint Lucia
圣皮埃尔和密克隆群岛	圣皮埃尔和密克隆群岛	Saint Pierre and Miquelon
圣文森特和格林纳丁斯	圣文森特和格林纳丁斯	Saint Vincent and the Grenadines
萨摩亚	萨摩亚独立国	Samoa
圣马力诺	圣马力诺共和国	San Marino
圣多美和普林西比	圣多美和普林西比民主共和国	São Tomé and Príncipe
沙特阿拉伯	沙特阿拉伯王国	Saudi Arabia
塞内加尔	塞内加尔共和国	Senegal
塞尔维亚	塞尔维亚共和国	Serbia
塞舌尔	塞舌尔共和国	Seychelles
塞拉利昂	塞拉利昂共和国	Sierra Leone
新加坡	新加坡共和国	Singapore
荷属圣马丁	圣马丁	Sint Maarten
斯洛伐克	斯洛伐克共和国	Slovakia
斯洛文尼亚	斯洛文尼亚共和国	Slovenia
所罗门群岛	所罗门群岛	Solomon Islands
索马里	索马里联邦共和国	Somali
索马里兰	索马里兰共和国	Somaliland
南非	南非共和国	South Africa
南奥塞梯	南奥塞梯共和国	South Ossetia
南苏丹	南苏丹共和国	South Sudan
西班牙	西班牙王国	Spain
斯里兰卡	斯里兰卡民主社会主义共和国	Sri Lanka
苏丹	苏丹共和国	Sudan
苏里南	苏里南共和国	Suriname
斯瓦尔巴群岛	斯瓦尔巴群岛	Svalbard
斯威士兰	斯威士兰王国	Swaziland
瑞典	瑞典王国	Sweden
瑞士	瑞士联邦	Switzerland
叙利亚	阿拉伯叙利亚共和国	Syria
中华民国	中华民国	Taiwan
塔吉克斯坦	塔吉克斯坦共和国	Tajikistan
坦桑尼亚	坦桑尼亚联合共和国	Tanzania
泰国	泰王国	Thailand
东帝汶	东帝汶民主共和国	Timor-Leste
多哥	多哥共和国	Togo
托克劳	托克劳	Tokelau
汤加	汤加王国	Tonga
特立尼达和多巴哥	特立尼达和多巴哥共和国	Trinidad and Tobago
突尼斯	突尼斯共和国	Tunisia
土耳其	土耳其共和国	Turkey
土库曼斯坦	土库曼斯坦	Turkmenistan
特克斯与凯科斯群岛	特克斯与凯科斯群岛	Turks and Caicos Islands
图瓦卢	图瓦卢	Tuvalu
乌干达	乌干达共和国	Uganda
乌克兰	乌克兰	Ukraine
阿拉伯联合酋长国	阿拉伯联合酋长国	United Arab Emirates
英国	大不列颠及北爱尔兰联合王国	United Kingdom
美国	美利坚合众国	United States
乌拉圭	乌拉圭东岸共和国	Uruguay
乌兹别克斯坦	乌兹别克斯坦共和国	Uzbekistan
瓦努阿图	瓦努阿图共和国	Vanuatu
梵蒂冈	梵蒂冈城国	The Holy See（Vatican City）
委内瑞拉	委内瑞拉玻利瓦尔共和国	Venezuela
越南	越南社会主义共和国	Vietnam
英属维尔京群岛	英属维京群岛	Virgin Islands, British
美属维尔京群岛	美属维京群岛	Virgin Islands, United States
瓦利斯和富图纳群岛	瓦利斯和富图纳群岛	Wallis and Futuna
西撒哈拉	阿拉伯撒哈拉民主共和国	Western Sahara
也门	也门共和国	Yemen
赞比亚	赞比亚共和国	Zambia
津巴布韦	津巴布韦共和国	Zimbabwe
